param_n_estimators,param_max_features,param_max_depth,param_max_leaf_nodes,param_min_samples_leaf,mean_test_score,rank_test_score,mean_fit_time
80,log2,8,32,1,0.9494505494505494,118,0.055397987365722656
40,0.5,8,16,1,0.9494505494505494,118,0.05939483642578125
120,log2,5,16,1,0.9494505494505494,118,0.08363699913024902
40,0.5,,32,1,0.9494505494505494,118,0.06051301956176758
80,sqrt,8,32,1,0.9494505494505494,118,0.06012296676635742
40,0.5,,,3,0.9494505494505494,118,0.057350873947143555
40,0.5,,16,1,0.9494505494505494,118,0.059889793395996094
80,log2,8,16,1,0.9472527472527472,128,0.05084729194641113
40,log2,,,1,0.9472527472527472,128,0.027235746383666992
40,0.5,5,32,3,0.9472527472527472,128,0.05580329895019531
40,0.5,5,16,3,0.9472527472527472,128,0.054677724838256836
80,log2,,16,1,0.9472527472527472,128,0.05102062225341797
40,log2,5,16,1,0.9472527472527472,128,0.0781700611114502
40,log2,5,,1,0.945054945054945,134,0.025874853134155273
40,log2,8,,3,0.945054945054945,134,0.026862144470214844
40,log2,5,32,1,0.945054945054945,134,0.027089834213256836
40,sqrt,5,,1,0.9428571428571428,137,0.028584957122802734
40,log2,5,,3,0.9428571428571428,137,0.032156944274902344
40,sqrt,5,32,1,0.9428571428571428,137,0.02855086326599121
40,sqrt,,,3,0.9428571428571428,137,0.029569149017333984
40,log2,,,3,0.9428571428571428,137,0.026599884033203125
40,sqrt,5,16,1,0.9428571428571428,137,0.028497934341430664
40,sqrt,,32,3,0.9406593406593406,143,0.029240131378173828
40,sqrt,,16,3,0.9406593406593406,143,0.028115034103393555
40,sqrt,8,32,3,0.9406593406593406,143,0.029341936111450195
40,log2,8,32,3,0.9406593406593406,143,0.027826786041259766
40,sqrt,5,32,3,0.9406593406593406,143,0.029316186904907227
40,log2,5,32,3,0.9406593406593406,143,0.026072025299072266
40,sqrt,8,,3,0.9406593406593406,143,0.03022003173828125
40,sqrt,8,16,3,0.9406593406593406,143,0.02881908416748047
40,log2,5,16,3,0.9384615384615385,151,0.02624797821044922
40,log2,8,16,3,0.9384615384615385,151,0.025700092315673828
40,log2,,32,3,0.9384615384615385,151,0.02670001983642578
40,log2,,16,3,0.9384615384615385,151,0.026263713836669922
40,sqrt,5,16,3,0.9384615384615385,151,0.028181076049804688
40,sqrt,8,16,1,0.9384615384615385,151,0.029179811477661133
40,sqrt,,16,1,0.9384615384615385,151,0.02839207649230957
40,sqrt,8,,1,0.9362637362637363,158,0.03136801719665527
40,sqrt,,,1,0.9362637362637363,158,0.03237104415893555
40,sqrt,,32,1,0.9362637362637363,158,0.029509305953979492
40,sqrt,8,32,1,0.9340659340659341,161,0.030125141143798828
40,sqrt,5,,3,0.9340659340659341,161,0.02845597267150879
