model,iteration,test_log_loss
Custom Gradient Boosting,71,0.10617978603316877
Custom Gradient Boosting,72,0.10702484942844138
Custom Gradient Boosting,73,0.10584096236824116
Custom Gradient Boosting,74,0.10427060470959418
Custom Gradient Boosting,75,0.10423716897076915
Custom Gradient Boosting,76,0.10610686901896316
Custom Gradient Boosting,77,0.1070376553443192
Custom Gradient Boosting,78,0.10715996849945639
Custom Gradient Boosting,79,0.10674754050480581
Custom Gradient Boosting,80,0.10558327422276637
Custom Gradient Boosting,81,0.10405293903312315
Custom Gradient Boosting,82,0.10442180641948394
Custom Gradient Boosting,83,0.10512506621248073
Custom Gradient Boosting,84,0.10545730708855497
Custom Gradient Boosting,85,0.10564083797281013
Custom Gradient Boosting,86,0.10547721546934684
Custom Gradient Boosting,87,0.10469230529127704
Custom Gradient Boosting,88,0.10314806916492866
Custom Gradient Boosting,89,0.10327683690286898
Custom Gradient Boosting,90,0.10226165486433081
Custom Gradient Boosting,91,0.10207749906100753
Custom Gradient Boosting,92,0.10334445050220407
Custom Gradient Boosting,93,0.10424533144998081
Custom Gradient Boosting,94,0.10566007278491292
Custom Gradient Boosting,95,0.10549275865332716
Custom Gradient Boosting,96,0.10631921540599765
Custom Gradient Boosting,97,0.10694099192101685
Custom Gradient Boosting,98,0.10582539272925025
Custom Gradient Boosting,99,0.10624160997436699
Custom Gradient Boosting,100,0.10586703803477879
Custom Gradient Boosting,101,0.10599309973600983
Custom Gradient Boosting,102,0.10615056744854334
Custom Gradient Boosting,103,0.10636089380694702
Custom Gradient Boosting,104,0.10751411229079223
Custom Gradient Boosting,105,0.10584403116642516
Custom Gradient Boosting,106,0.10624769137513676
Custom Gradient Boosting,107,0.10649811960444669
Custom Gradient Boosting,108,0.10695644323309908
Custom Gradient Boosting,109,0.10746957039151209
Custom Gradient Boosting,110,0.10704521287912303
Custom Gradient Boosting,111,0.10716968086827867
Custom Gradient Boosting,112,0.10766393282626245
Custom Gradient Boosting,113,0.10798879722956425
Custom Gradient Boosting,114,0.10839892957713106
Custom Gradient Boosting,115,0.10837516773453718
Custom Gradient Boosting,116,0.10772023199742593
Custom Gradient Boosting,117,0.10736942218561973
Custom Gradient Boosting,118,0.10804208186823336
Custom Gradient Boosting,119,0.10651837560220573
Custom Gradient Boosting,120,0.1072585091985271
sklearn GradientBoostingClassifier,1,0.5948708918880079
sklearn GradientBoostingClassifier,2,0.5388931835462285
sklearn GradientBoostingClassifier,3,0.4935678289062256
sklearn GradientBoostingClassifier,4,0.45803456850572366
sklearn GradientBoostingClassifier,5,0.42524157950800245
sklearn GradientBoostingClassifier,6,0.39309097669554877
sklearn GradientBoostingClassifier,7,0.3690128393146048
sklearn GradientBoostingClassifier,8,0.3468654936133444
sklearn GradientBoostingClassifier,9,0.3276107764757018
sklearn GradientBoostingClassifier,10,0.30673890749087035
sklearn GradientBoostingClassifier,11,0.2863714692828443
sklearn GradientBoostingClassifier,12,0.26978416301805497
sklearn GradientBoostingClassifier,13,0.25556740256043553
sklearn GradientBoostingClassifier,14,0.24379742848324462
sklearn GradientBoostingClassifier,15,0.23366857163843824
sklearn GradientBoostingClassifier,16,0.2245433476841274
sklearn GradientBoostingClassifier,17,0.21535988816453033
sklearn GradientBoostingClassifier,18,0.20851534923768358
sklearn GradientBoostingClassifier,19,0.20015556793282668
sklearn GradientBoostingClassifier,20,0.19281649846479643
sklearn GradientBoostingClassifier,21,0.18756102509656683
sklearn GradientBoostingClassifier,22,0.18068870622367297
sklearn GradientBoostingClassifier,23,0.1756615907073575
sklearn GradientBoostingClassifier,24,0.170314839216055
sklearn GradientBoostingClassifier,25,0.16585446182579314
sklearn GradientBoostingClassifier,26,0.16092793746204537
sklearn GradientBoostingClassifier,27,0.15820845849132198
sklearn GradientBoostingClassifier,28,0.15402194112274809
sklearn GradientBoostingClassifier,29,0.15101231745420718
sklearn GradientBoostingClassifier,30,0.1478442245604461
sklearn GradientBoostingClassifier,31,0.14645880822260918
sklearn GradientBoostingClassifier,32,0.14254930176261868
sklearn GradientBoostingClassifier,33,0.1404320824852535
sklearn GradientBoostingClassifier,34,0.13768036715944093
sklearn GradientBoostingClassifier,35,0.13386294711370172
sklearn GradientBoostingClassifier,36,0.1331886766316018
sklearn GradientBoostingClassifier,37,0.13222438415104038
sklearn GradientBoostingClassifier,38,0.12992202469815078
sklearn GradientBoostingClassifier,39,0.12893814261015718
sklearn GradientBoostingClassifier,40,0.12683431115062255
sklearn GradientBoostingClassifier,41,0.1265480829867618
sklearn GradientBoostingClassifier,42,0.12521240299727962
sklearn GradientBoostingClassifier,43,0.1243622736860877
sklearn GradientBoostingClassifier,44,0.1208229470203624
sklearn GradientBoostingClassifier,45,0.1209931404336052
sklearn GradientBoostingClassifier,46,0.12151320379098103
sklearn GradientBoostingClassifier,47,0.12167908375317132
sklearn GradientBoostingClassifier,48,0.12021890282183785
sklearn GradientBoostingClassifier,49,0.11817218137122726
sklearn GradientBoostingClassifier,50,0.11710974638495544
sklearn GradientBoostingClassifier,51,0.11507072773373725
sklearn GradientBoostingClassifier,52,0.1150761522199574
sklearn GradientBoostingClassifier,53,0.11589636258147476
sklearn GradientBoostingClassifier,54,0.11530659500738531
sklearn GradientBoostingClassifier,55,0.11392163242722511
sklearn GradientBoostingClassifier,56,0.11408439443138216
sklearn GradientBoostingClassifier,57,0.11270992038697968
sklearn GradientBoostingClassifier,58,0.11021649173578445
sklearn GradientBoostingClassifier,59,0.1100985612220722
sklearn GradientBoostingClassifier,60,0.1088974566902887
sklearn GradientBoostingClassifier,61,0.10756930050993242
sklearn GradientBoostingClassifier,62,0.1069459256687523
